Canteen Name,Address
Oasis Food Centre,"3 Sakra Rd, Singapore 627878"
Taman Jurong Market and Food Centre,"3 Yung Sheng Rd, Singapore 618499"
Boon Lay Hawker Centre,dummy address
Palangan,64 Hanover Parkway
Kálamos,074 Carberry Point
Barong,94 Delladonna Parkway
Mādabā,2 3rd Road
Dalu,82 Columbus Terrace
Mar del Plata,3814 Monterey Drive
Västra Frölunda,703 Warrior Court
Āsmār,683 Shopko Hill
Mataquescuintla,4 East Court
Suicheng,061 Northwestern Parkway
Ketapang,2 Manitowish Pass
Pasirhuni,585 Helena Street
Draginje,7945 Mifflin Park
Eskilstuna,9 Swallow Junction
Guayatá,70 Bluejay Trail
Pô,4494 Mccormick Parkway
Tamontaka,9576 Ramsey Trail
Nyköping,31550 West Road
Guantánamo,80506 Orin Road
Kunting,5062 Cascade Hill
Tagnanan,5 Londonderry Pass
Razumnoye,65162 Harper Junction
Paris La Défense,25 Arrowood Street
Santana do Ipanema,5945 Gina Circle
Colcabamba,30087 Di Loreto Terrace
Hangchuan,33 Hallows Parkway
Lianhe,93483 Mendota Crossing
Katsikás,12410 Luster Street
Davydovo,19 Anniversary Terrace
Nové Sedlo,634 Cascade Road
Dongen,7240 Michigan Alley
Phatthalung,772 Knutson Place
Själevad,4607 1st Point
Bayabas,663 Monica Road
Peixing,694 Declaration Pass
Zhaocun,687 Sunnyside Center
Buldon,69705 Erie Alley
Achiaman,70509 Pond Point
Gò Quao,9526 Dottie Junction
Krasnotorka,9640 Crownhardt Trail
Parigi,8 Green Ridge Alley
Don Carlos,343 Summer Ridge Circle
Stanovoye,11 Bluestem Circle
Castanheira,402 Golf Course Road
Andrijaševci,0 Debra Terrace
Lojejerkrajan,79 Fieldstone Hill
Catolé do Rocha,5207 Westend Road
Bal’shavik,6041 Red Cloud Lane
