Food Name,Price,Description,Stall Name,Canteen Name,Image Directory
Chee Cheong Fun,0.6,,Oasis Kueh Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627027/Food%20Images%20Raw/chee_cheong_fun.jpg
Yam cake,1.2,,Oasis Kueh Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627138/Food%20Images%20Raw/yam_cake.jpg
Dumpling,0.9,,Oasis Kueh Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627030/Food%20Images%20Raw/dumpling.jpg
Pau,0.8,,Oasis Kueh Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627080/Food%20Images%20Raw/bao.jpg
Lor Mai Kai,1.5,,Oasis Kueh Stall,Oasis Food Centre,resources/img/food/img-lormaikai.jpg
Fan Choy,1.8,,Oasis Kueh Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627080/Food%20Images%20Raw/lor_mai_kai.jpg
Curry Chicken + Veg,3.7,"more vegs, less fried meat",Oasis Muslim Stall,Oasis Food Centre,resources/img/food/img-mixedvegricemalay.jpg
Asam Fish + Veg,3.7,"more vegs, less fried meat",Oasis Muslim Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627015/Food%20Images%20Raw/asam_fish_plus_veg.jpg
Curry Fish + Veg,3.7,"more vegs, less fried meat",Oasis Muslim Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627012/Food%20Images%20Raw/curry_fish_plus_veg.jpg
Fried Chicken + Veg,3.7,"more vegs, less fried meat",Oasis Muslim Stall,Oasis Food Centre,resources/img/food/img-malayfriedchicken.jpg
Fried Fish + Veg,3.7,"more vegs, less fried meat",Oasis Muslim Stall,Oasis Food Centre,resources/img/food/img-malayfriedfish.jpg
Stingray + Veg,3.7,"more vegs, less fried meat",Oasis Muslim Stall,Oasis Food Centre,resources/img/food/img-malaystingray.jpg
White Rice(Chicken),4,Chicken/Fish/Mutton,Indian Stall,Oasis Food Centre,resources/img/food/img-whiterice.jpg
White Rice(Fish),4,Chicken/Fish/Mutton,Indian Stall,Oasis Food Centre,resources/img/food/img-whiterice.jpg
White Rice(Mutton),4,Chicken/Fish/Mutton,Indian Stall,Oasis Food Centre,resources/img/food/img-whiterice.jpg
Vegetable White Rice,3,,Indian Stall,Oasis Food Centre,http://res.cloudinary.com/dmeln4k8n/image/upload/v1455627145/Food%20Images%20Raw/vegetable_white_rice.jpg
